Name,Composition,Sites,Relative Abundance,sd
unmodified,,N52,5.84,0.131054922
M5,"2 HexNAc, 5 Hex",N52,1.84,0.043236674
M6,"2 HexNAc, 6 Hex",N52,0.19,0.004149949
M7,"2 HexNAc, 7 Hex",N52,0.07,0.019068749
A1G1,"3 HexNAc, 4 Hex",N52,2.3,0.036996058
A1S1,"3 HexNAc, 4 Hex, 1 Neu5Ac",N52,2.01,0.095481866
M5-A1G1,"3 HexNAc, 6 Hex",N52,0.97,0.036412526
M5-A1S1,"3 HexNAc, 6 Hex, 1 Neu5Ac",N52,1.15,0.03397301
A2G1,"4 HexNAc, 4 Hex",N52,1.68,0.035110278
A2S1G0,"4 HexNAc, 4 Hex, 1 Neu5Ac",N52,0.79,0.330308236
A2G2,"4 HexNAc, 5 Hex",N52,24.81,0.893517635
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N52,1.14,0.036962344
A2S1G1,"4 HexNAc, 5 Hex, 1 Neu5Ac",N52,32.68,0.671371999
A2S1G1F,"4 HexNAc, 5 Hex, 1 Neu5Ac, 1 Fuc",N52,1.34,0.030998911
A2S2,"4 HexNAc, 5 Hex, 2 Neu5Ac",N52,19.48,0.376698138
A2S2F,"4 HexNAc, 5 Hex, 2 Neu5Ac, 1 Fuc",N52,0.84,0.035742816
A3G3,"5 HexNAc, 6 Hex",N52,0.47,0.017420867
A3S1G2,"5 HexNAc, 6 Hex, 1 Neu5Ac",N52,0.82,0.023735629
A3S1G2F,"5 HexNAc, 6 Hex, 1 Neu5Ac, 1 Fuc",N52,0.17,0.00443929
A3S2G1,"5 HexNAc, 6 Hex, 2 Neu5Ac",N52,1.01,0.025580758
A3S2G1F,"5 HexNAc, 6 Hex, 2 Neu5Ac, 1 Fuc",N52,0.14,0.00372739
A3S3,"5 HexNAc, 6 Hex, 3 Neu5Ac",N52,0.17,0.024148051
A3S3F+LacN1,"6 HexNAc, 7 Hex, 3 Neu5Ac, 1 Fuc",N52,0.04,0.001108006
A3S2G1F+LacN1,"6 HexNAc, 7 Hex, 2 Neu5Ac, 1 Fuc",N52,0.05,0.011480589
A3S3F,"5 HexNAc, 6 Hex, 3 Neu5Ac, 1 Fuc",N52,0.03,NA
unmodified,,N78,0.63,0.00601167
M5,"2 HexNAc, 5 Hex",N78,0.17,0.002140709
M6,"2 HexNAc, 6 Hex",N78,0.03,0.001252973
M7,"2 HexNAc, 7 Hex",N78,0.06,0.009388056
A1G1,"3 HexNAc, 4 Hex",N78,0.47,0.032468025
A1S1,"3 HexNAc, 4 Hex, 1 Neu5Ac",N78,0.59,0.006021459
M5-A1G1,"3 HexNAc, 6 Hex",N78,0.07,0.003237176
M5-A1S1,"3 HexNAc, 6 Hex, 1 Neu5Ac",N78,0.36,0.012550388
A2G1,"4 HexNAc, 4 Hex",N78,0.54,0.014848073
A2S1G0,"4 HexNAc, 4 Hex, 1 Neu5Ac",N78,0.68,0.233277758
A2G2,"4 HexNAc, 5 Hex",N78,5.67,0.126428858
A2G2F,"4 HexNAc, 5 Hex, 1 Fuc",N78,0.11,0.037260388
A2S1G1,"4 HexNAc, 5 Hex, 1 Neu5Ac",N78,35.06,0.310235614
A2S1G1F,"4 HexNAc, 5 Hex, 1 Neu5Ac, 1 Fuc",N78,0.35,0.069465798
A2S2,"4 HexNAc, 5 Hex, 2 Neu5Ac",N78,41.53,0.807345704
A2S2F,"4 HexNAc, 5 Hex, 2 Neu5Ac, 1 Fuc",N78,0.52,0.004441604
A3G3,"5 HexNAc, 6 Hex",N78,0.37,0.007293348
A3S1G2,"5 HexNAc, 6 Hex, 1 Neu5Ac",N78,2.08,0.085158042
A3S2G1,"5 HexNAc, 6 Hex, 2 Neu5Ac",N78,5.71,0.128914616
A3S3,"5 HexNAc, 6 Hex, 3 Neu5Ac",N78,4.67,0.675201093
A3S3F,"5 HexNAc, 6 Hex, 3 Neu5Ac, 1 Fuc",N78,0.15,0.035231196
A4S1G3,"6 HexNAc, 7 Hex, 1 Neu5Ac",N78,0.06,0.010750276
A4S4,"6 HexNAc, 7 Hex, 4 Neu5Ac",N78,0.1,0.044497728
A1S1F,"3 HexNAc, 4 Hex, 1 Neu5Ac, 1 Fuc",N78,0.01,NA
A3S2G1F,"5 HexNAc, 6 Hex, 2 Neu5Ac, 1 Fuc",N78,0.07,9.79E-05
