ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Na+,Perm,Perm Score,hCG alpha,hCG beta
0-30-0,37967.0100,100.0,0,21.93,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,21.93,A2S1G1/A2S2,A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S
0-30-1,37967.0100,100.0,1,16.56,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,16.56,A2S1G1/A2S2,A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S
0-30-2,37967.0100,100.0,2,10.71,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,10.71,A2S1G1/A2S1G1,A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-30-3,37967.0100,100.0,3,9.92,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,9.92,A2G2/A2S2,A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-30-4,37967.0100,100.0,4,6.18,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,6.18,A2S1G1/A2S2,A2S1G1/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S
0-30-5,37967.0100,100.0,5,5.60,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,5.60,A2S2/A2S2,A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 1 x S
0-30-6,37967.0100,100.0,6,5.52,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,5.52,A2S1G1/A2S1G1,A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-30-7,37967.0100,100.0,7,5.12,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,5.12,A2G2/A2S2,A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-30-8,37967.0100,100.0,8,4.57,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,4.57,A2G2/A2S1G1,A2S2/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S
0-30-9,37967.0100,100.0,9,3.67,1,37968.6730,-1.6630,-44,25,21,13,1,0,0,3.67,A2S2/A2S2,A2S1G1/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S
