name,sia_sites,sia_occupied,fuc
1 x Core,2,0,NA
1 x Core + 1 x S,2,1,NA
1 x Core + 2 x S,2,2,NA
2 x Core,4,0,NA
2 x Core + 1 x S,4,1,NA
2 x Core + 2 x S,4,2,NA
2 x Core + 3 x S,4,3,NA
A1G1,1,0,FALSE
A1G1F,1,0,TRUE
A1G1FB,1,0,TRUE
A1S1,1,1,FALSE
A1S1F,1,1,TRUE
A1S1M5,1,1,FALSE
A2G0F,0,NA,TRUE
A2G0FB or A3G0F,0,NA,TRUE
A2G1,1,0,FALSE
A2G1B or A3G1,1,0,FALSE
A2G2,2,0,FALSE
A2G2F,2,0,TRUE
A2S1G0,1,1,FALSE
A2S1G1,2,1,FALSE
A2S1G1F,2,1,TRUE
A2S1G1F2,2,1,TRUE
A2S1G1F3,2,1,TRUE
A2S2,2,2,FALSE
A2S2F,2,2,TRUE
A2S2F2,2,2,TRUE
A3G3,3,0,FALSE
A3S1G2,3,1,FALSE
A3S1G2F,3,1,TRUE
A3S2G1,3,2,FALSE
A3S2G1F,3,2,TRUE
A3S2G1F+LacN1,3,2,TRUE
A3S3,3,3,FALSE
A3S3F,3,3,TRUE
A3S3F+LacN1,3,3,TRUE
A4S1G3,4,1,FALSE
A4S2G2,4,2,FALSE
A4S4,4,4,FALSE
M4-Glc or M5,0,NA,NA
M5,0,NA,NA
M5-A1G1,0,NA,FALSE
M6,0,NA,NA
M7,0,NA,NA
unmodified,0,NA,NA
