Name,Composition,Fractional Abundance,Cumulative Abundance
unmodified/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"10 Hex, 9 HexNAc, 10 Neu5Ac, 1 Fuc",4.754489410580994,4.754489410580994
unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"10 Hex, 9 HexNAc, 9 Neu5Ac, 1 Fuc",4.248119834077501,9.002609244658494
unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"11 Hex, 10 HexNAc, 10 Neu5Ac, 1 Fuc",3.969070587957039,12.971679832615534
unmodified/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S,"10 Hex, 9 HexNAc, 8 Neu5Ac, 1 Fuc",2.8931150408521344,15.864794873467668
A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"15 Hex, 13 HexNAc, 11 Neu5Ac, 1 Fuc",2.2076461764105058,18.072441049878172
unmodified/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S,"10 Hex, 9 HexNAc, 9 Neu5Ac, 1 Fuc",2.2013518255813858,20.27379287545956
unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S,"10 Hex, 9 HexNAc, 8 Neu5Ac, 1 Fuc",2.1912038846437754,22.464996760103336
A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 10 Neu5Ac, 1 Fuc",1.8790575543869827,24.344054314490318
unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/2 x Core + 3 x S,"11 Hex, 10 HexNAc, 9 Neu5Ac, 1 Fuc",1.825661361685148,26.169715676175464
A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"16 Hex, 14 HexNAc, 12 Neu5Ac, 1 Fuc",1.7826210009662509,27.952336677141716
A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S,"15 Hex, 13 HexNAc, 10 Neu5Ac, 1 Fuc",1.4234027909607923,29.37573946810251
A2S2/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 12 Neu5Ac, 1 Fuc",1.349943499039813,30.725682967142323
A2S2F/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"15 Hex, 13 HexNAc, 11 Neu5Ac, 2 Fuc",1.3370279797515596,32.06271094689388
unmodified/A2S2F/2 x Core + 3 x S/2 x Core + 3 x S/2 x Core + 3 x S,"11 Hex, 10 HexNAc, 11 Neu5Ac, 1 Fuc",1.318175350344005,33.380886297237886
unmodified/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 1 x S,"10 Hex, 9 HexNAc, 7 Neu5Ac, 1 Fuc",1.261766811785833,34.64265310902372
A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 1 x S,"15 Hex, 13 HexNAc, 9 Neu5Ac, 1 Fuc",1.2170006327216976,35.85965374174542
A3S2G1F+LacN1/M5-A1G1/2 x Core/2 x Core + 1 x S/1 x Core,"18 Hex, 14 HexNAc, 3 Neu5Ac, 1 Fuc",1.2030945195167997,37.062748261262215
A2S2/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/2 x Core + 3 x S,"16 Hex, 14 HexNAc, 11 Neu5Ac, 1 Fuc",1.159654049202906,38.22240231046512
A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 11 Neu5Ac, 1 Fuc",1.1440977143965254,39.36650002486165
A2S2F/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"14 Hex, 12 HexNAc, 11 Neu5Ac, 2 Fuc",0.896512386173833,40.26301241103548
A2G0F/unmodified/2 x Core + 3 x S/2 x Core + 3 x S/2 x Core + 3 x S,"9 Hex, 10 HexNAc, 9 Neu5Ac, 1 Fuc",0.8896446063859861,41.15265701742147
A2S1G0/unmodified/2 x Core + 3 x S/2 x Core + 3 x S/2 x Core + 3 x S,"10 Hex, 10 HexNAc, 10 Neu5Ac, 0 Fuc",0.8479903396211831,42.00064735704265
A2S1G0/A1S1/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"13 Hex, 12 HexNAc, 9 Neu5Ac, 0 Fuc",0.8324943900186559,42.833141747061305
A2S1G1/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 9 Neu5Ac, 1 Fuc",0.8039990271805372,43.63714077424184
A2S2F/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 12 Neu5Ac, 2 Fuc",0.7546905901105325,44.39183136435238
A2S1G1/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 1 x S,"15 Hex, 13 HexNAc, 8 Neu5Ac, 1 Fuc",0.73133488393625,45.123166248288626
A2S2F/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 11 Neu5Ac, 2 Fuc",0.692810967700964,45.81597721598959
A3G3/A3S1G2F/2 x Core/2 x Core + 1 x S/1 x Core,"17 Hex, 15 HexNAc, 2 Neu5Ac, 1 Fuc",0.6731636505724717,46.48914086656206
A2S2/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"14 Hex, 12 HexNAc, 11 Neu5Ac, 1 Fuc",0.6479636604240181,47.13710452698608
A2S2F/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"16 Hex, 14 HexNAc, 12 Neu5Ac, 2 Fuc",0.6207433012031346,47.75784782818921
A2S1G1/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S,"15 Hex, 13 HexNAc, 9 Neu5Ac, 1 Fuc",0.6089234737435752,48.366771301932786
A2S2F/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 10 Neu5Ac, 2 Fuc",0.6020008402209301,48.96877214215372
M7/A1S1/1 x Core + 2 x S/1 x Core + 2 x S/1 x Core + 2 x S,"14 Hex, 8 HexNAc, 7 Neu5Ac, 0 Fuc",0.585413808347255,49.55418595050097
A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 3 x S/1 x Core + 2 x S,"14 Hex, 12 HexNAc, 10 Neu5Ac, 1 Fuc",0.5346316957297809,50.08881764623076
A2S1G1/A2S2F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"15 Hex, 13 HexNAc, 10 Neu5Ac, 1 Fuc",0.53208860283163,50.620906249062386
A2S1G0/A2S2F/1 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"14 Hex, 13 HexNAc, 11 Neu5Ac, 1 Fuc",0.5051429732404905,51.126049222302875
A2S2/A2S2F/1 x Core + 1 x S/2 x Core + 2 x S/1 x Core + 2 x S,"14 Hex, 12 HexNAc, 9 Neu5Ac, 1 Fuc",0.4915097458423185,51.6175589681452
M6/M5-A1G1/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 1 x S,"17 Hex, 10 HexNAc, 5 Neu5Ac, 0 Fuc",0.47473418306501014,52.09229315121021
A2S2F/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 2 x S,"15 Hex, 13 HexNAc, 10 Neu5Ac, 2 Fuc",0.4559562284897013,52.548249379699904
A3S3F+LacN1/unmodified/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"13 Hex, 12 HexNAc, 11 Neu5Ac, 1 Fuc",0.45593548548074414,53.00418486518065
A2S1G1F/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/1 x Core + 1 x S,"15 Hex, 13 HexNAc, 8 Neu5Ac, 2 Fuc",0.45402712865668304,53.45821199383733
unmodified/A2S1G1F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S,"10 Hex, 9 HexNAc, 7 Neu5Ac, 1 Fuc",0.43812507703434944,53.89633707087168
A2G0F/unmodified/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"9 Hex, 10 HexNAc, 8 Neu5Ac, 1 Fuc",0.4330319769017284,54.32936904777341
A2S1G0/A1S1/1 x Core + 1 x S/2 x Core + 3 x S/2 x Core + 3 x S,"13 Hex, 12 HexNAc, 9 Neu5Ac, 0 Fuc",0.4313711533178897,54.7607402010913
unmodified/A2S1G1F/2 x Core + 2 x S/2 x Core + 3 x S/1 x Core + 2 x S,"10 Hex, 9 HexNAc, 8 Neu5Ac, 1 Fuc",0.4308645629435798,55.19160476403488
unmodified/A3S2G1F/2 x Core + 2 x S/2 x Core + 3 x S/2 x Core + 3 x S,"12 Hex, 11 HexNAc, 10 Neu5Ac, 1 Fuc",0.4262430205479187,55.6178477845828
A3S2G1F+LacN1/M5-A1G1/2 x Core/2 x Core + 2 x S/2 x Core + 2 x S,"19 Hex, 15 HexNAc, 6 Neu5Ac, 1 Fuc",0.42197272643726597,56.03982051102007
A2S1G1/A2S2F/2 x Core + 2 x S/2 x Core + 2 x S/2 x Core + 3 x S,"16 Hex, 14 HexNAc, 10 Neu5Ac, 1 Fuc",0.41966564288547215,56.45948615390554
A2S2/A2S1G1F/1 x Core + 1 x S/2 x Core + 2 x S/2 x Core + 3 x S,"15 Hex, 13 HexNAc, 9 Neu5Ac, 1 Fuc",0.4117321333929804,56.87121828729852
