Name,Composition,Fractional Abundance,Cumulative Abundance
unmodified/A2G2F/2 x Core/2 x Core/1 x Core,"10 Hex, 9 HexNAc, 1 Fuc",23.578910470607507,23.578910470607507
A2G2/A2G2F/2 x Core/2 x Core/1 x Core,"15 Hex, 13 HexNAc, 1 Fuc",20.449047317922965,44.02795778853047
A2G2F/A2G2F/2 x Core/2 x Core/1 x Core,"15 Hex, 13 HexNAc, 2 Fuc",11.26854590259515,55.29650369112562
unmodified/A2G2F/2 x Core/2 x Core/2 x Core,"11 Hex, 10 HexNAc, 1 Fuc",9.658864602360701,64.95536829348632
A2G2/A2G2F/2 x Core/2 x Core/2 x Core,"16 Hex, 14 HexNAc, 1 Fuc",5.395789774058371,70.35115806754469
A2G2/A2G2F/1 x Core/2 x Core/1 x Core,"14 Hex, 12 HexNAc, 1 Fuc",4.703788710140511,75.0549467776852
unmodified/A2G2F/1 x Core/2 x Core/1 x Core,"9 Hex, 8 HexNAc, 1 Fuc",3.293981289841875,78.34892806752708
A3G3/A2G2F/2 x Core/2 x Core/1 x Core,"16 Hex, 14 HexNAc, 1 Fuc",3.0575572516394733,81.40648531916655
A3G3/A2G2F/1 x Core/2 x Core/1 x Core,"15 Hex, 13 HexNAc, 1 Fuc",2.4904555646955417,83.8969408838621
A2G2F/A2G2F/2 x Core/2 x Core/2 x Core,"16 Hex, 14 HexNAc, 2 Fuc",2.036328215136874,85.93326909899896
A2G2F/A2G2F/1 x Core/2 x Core/1 x Core,"14 Hex, 12 HexNAc, 2 Fuc",1.7078735205993172,87.64114261959828
A3G3F/A2G2F/1 x Core/2 x Core/1 x Core,"15 Hex, 13 HexNAc, 2 Fuc",1.5654741039926867,89.20661672359097
A3G3/A2G2F/2 x Core/2 x Core/2 x Core,"17 Hex, 15 HexNAc, 1 Fuc",1.3395817957312939,90.54619851932226
A3G3F/A2G2F/2 x Core/2 x Core/1 x Core,"16 Hex, 14 HexNAc, 2 Fuc",1.3168625696434644,91.86306108896574
A2G1/A2G2F/unmodified/1 x Core/1 x Core,"11 Hex, 10 HexNAc, 1 Fuc",1.079039937433175,92.9421010263989
A2G0F/A2G2F/unmodified/1 x Core/1 x Core,"10 Hex, 10 HexNAc, 2 Fuc",0.5630080692180732,93.50510909561697
A3G3F+LacN1/A2G2F/2 x Core/2 x Core/1 x Core,"17 Hex, 15 HexNAc, 2 Fuc",0.3986098609684823,93.90371895658546
A3G3F/A2G2F/2 x Core/2 x Core/2 x Core,"17 Hex, 15 HexNAc, 2 Fuc",0.3412005714154863,94.24491952800095
A3G3F+LacN1/A2G2F/1 x Core/2 x Core/1 x Core,"16 Hex, 14 HexNAc, 2 Fuc",0.330695263275634,94.57561479127658
A2G0F/A2G2F/unmodified/unmodified/1 x Core,"9 Hex, 9 HexNAc, 2 Fuc",0.3129644732461649,94.88857926452275
A2G2/A2G2F/unmodified/unmodified/1 x Core,"11 Hex, 9 HexNAc, 1 Fuc",0.30484593447745606,95.1934251990002
M7/A2G2F/unmodified/unmodified/1 x Core,"13 Hex, 7 HexNAc, 1 Fuc",0.2818325456700833,95.47525774467029
A2G0F/A2G2F/2 x Core/2 x Core/2 x Core,"14 Hex, 14 HexNAc, 2 Fuc",0.27055924384327995,95.74581698851357
A2G1/A2G2F/2 x Core/2 x Core/2 x Core,"15 Hex, 14 HexNAc, 1 Fuc",0.22153799543078986,95.96735498394436
A2G2/A2G2F/unmodified/2 x Core/2 x Core,"14 Hex, 12 HexNAc, 1 Fuc",0.21905786902889313,96.18641285297325
A3G3F/unmodified/2 x Core/2 x Core/1 x Core,"11 Hex, 10 HexNAc, 1 Fuc",0.1988240537031916,96.38523690667644
A3G3+LacN1/A2G2F/2 x Core/2 x Core/1 x Core,"17 Hex, 15 HexNAc, 1 Fuc",0.17526813724540394,96.56050504392185
A2G2/A2G2F/unmodified/1 x Core/1 x Core,"12 Hex, 10 HexNAc, 1 Fuc",0.16164681802248673,96.72215186194433
M5-A1G1/A2G2F/2 x Core/2 x Core/2 x Core,"17 Hex, 13 HexNAc, 1 Fuc",0.15853080693942187,96.88068266888375
unmodified/A2G2F/unmodified/2 x Core/2 x Core,"9 Hex, 8 HexNAc, 1 Fuc",0.15328872158995832,97.03397139047371
A2G1/A2G2F/1 x Core/1 x Core/1 x Core,"12 Hex, 11 HexNAc, 1 Fuc",0.15044045142528004,97.18441184189899
A2G1/A2G2F/unmodified/2 x Core/1 x Core,"12 Hex, 11 HexNAc, 1 Fuc",0.11637218101399828,97.30078402291299
A3G3/A2G2F/unmodified/2 x Core/2 x Core,"15 Hex, 13 HexNAc, 1 Fuc",0.11572748906577797,97.41651151197877
A3G3/A2G1/2 x Core/2 x Core/2 x Core,"16 Hex, 15 HexNAc, 0 Fuc",0.10903572755952395,97.5255472395383
A3G3F/unmodified/1 x Core/2 x Core/1 x Core,"10 Hex, 9 HexNAc, 1 Fuc",0.10447532467989988,97.6300225642182
A3G3/A2G2F/1 x Core/1 x Core/1 x Core,"14 Hex, 12 HexNAc, 1 Fuc",0.10253772592841807,97.73256029014661
A2G2/A2G2F/1 x Core/1 x Core/1 x Core,"13 Hex, 11 HexNAc, 1 Fuc",0.10230345262482979,97.83486374277145
A3G3+LacN1/A2G2F/1 x Core/2 x Core/1 x Core,"16 Hex, 14 HexNAc, 1 Fuc",0.08628479531030644,97.92114853808175
M6/unmodified/2 x Core/2 x Core/2 x Core,"12 Hex, 8 HexNAc, 0 Fuc",0.08610864996926264,98.00725718805101
M5-A1G1/A2G2F/1 x Core/2 x Core/1 x Core,"15 Hex, 11 HexNAc, 1 Fuc",0.08294331819070552,98.09020050624171
M7/A2G2F/unmodified/1 x Core/1 x Core,"14 Hex, 8 HexNAc, 1 Fuc",0.08258574314838661,98.1727862493901
A2G2F/A2G2F/unmodified/2 x Core/2 x Core,"14 Hex, 12 HexNAc, 2 Fuc",0.07954019020173926,98.25232643959184
A3G3/A2G2F/unmodified/2 x Core/1 x Core,"14 Hex, 12 HexNAc, 1 Fuc",0.07923369730832304,98.33156013690017
A2G2/A2G2F/unmodified/2 x Core/1 x Core,"13 Hex, 11 HexNAc, 1 Fuc",0.07911215702300282,98.41067229392317
A1G1/A2G2F/unmodified/1 x Core/1 x Core,"11 Hex, 9 HexNAc, 1 Fuc",0.07660032445971822,98.48727261838289
A1G1/A2G2F/2 x Core/2 x Core/1 x Core,"14 Hex, 12 HexNAc, 1 Fuc",0.07353715697896648,98.56080977536185
A3G3F/A2G2F/unmodified/2 x Core/2 x Core,"15 Hex, 13 HexNAc, 2 Fuc",0.07299462932855158,98.63380440469041
A2G1/A2G2F/unmodified/2 x Core/unmodified,"11 Hex, 10 HexNAc, 1 Fuc",0.0712860195204267,98.70509042421082
A3G3F+LacN1/A2G2F/1 x Core/1 x Core/1 x Core,"15 Hex, 13 HexNAc, 2 Fuc",0.07038767828110332,98.77547810249193
A1G1/A2G2F/2 x Core/2 x Core/2 x Core,"15 Hex, 13 HexNAc, 1 Fuc",0.06943649343946678,98.8449145959314
A2G2/A2G1/2 x Core/2 x Core/1 x Core,"14 Hex, 13 HexNAc, 0 Fuc",0.062249763524879646,98.90716435945627
A2G0F/A2G2F/1 x Core/1 x Core/1 x Core,"11 Hex, 11 HexNAc, 2 Fuc",0.05648452651251601,98.9636488859688
A3G3F+LacN1/A2G2F/unmodified/2 x Core/1 x Core,"15 Hex, 13 HexNAc, 2 Fuc",0.054745971996413685,99.0183948579652
M5/A2G2F/2 x Core/2 x Core/1 x Core,"15 Hex, 11 HexNAc, 1 Fuc",0.0540977571413725,99.07249261510658
A2G0F/A2G1/1 x Core/1 x Core/1 x Core,"10 Hex, 11 HexNAc, 1 Fuc",0.0533473779885259,99.12583999309511
M7/A2G2F/2 x Core/2 x Core/2 x Core,"18 Hex, 12 HexNAc, 1 Fuc",0.05284360231314063,99.17868359540824
A2G2F/A2G2F/unmodified/unmodified/1 x Core,"11 Hex, 9 HexNAc, 2 Fuc",0.05167223579519934,99.23035583120344
A3G3F+LacN1/unmodified/1 x Core/2 x Core/1 x Core,"11 Hex, 10 HexNAc, 1 Fuc",0.049435189963943055,99.27979102116738
A2G1/A2G2F/1 x Core/2 x Core/1 x Core,"13 Hex, 12 HexNAc, 1 Fuc",0.04891908411468472,99.32871010528207
A2G0F/A2G2F/unmodified/2 x Core/1 x Core,"11 Hex, 11 HexNAc, 2 Fuc",0.04368580603227336,99.37239591131434
A3G3F/A2G2F/1 x Core/1 x Core/1 x Core,"14 Hex, 12 HexNAc, 2 Fuc",0.04238409196195966,99.4147800032763
A2G0F/A2G1/unmodified/2 x Core/1 x Core,"10 Hex, 11 HexNAc, 1 Fuc",0.0412602846861002,99.45604028796241
unmodified/A2G2F/1 x Core/1 x Core/1 x Core,"8 Hex, 7 HexNAc, 1 Fuc",0.03970315987127299,99.49574344783368
A2G0F/A2G2F/unmodified/2 x Core/unmodified,"10 Hex, 10 HexNAc, 2 Fuc",0.03698699871237756,99.53273044654605
A2G1/A2G1/1 x Core/1 x Core/1 x Core,"11 Hex, 11 HexNAc, 0 Fuc",0.036048144044614094,99.56877859059067
A2G1/A2G2F/unmodified/unmodified/1 x Core,"10 Hex, 9 HexNAc, 1 Fuc",0.03561658795905678,99.60439517854972
A3G3F+LacN1/A2G2F/2 x Core/2 x Core/2 x Core,"18 Hex, 16 HexNAc, 2 Fuc",0.035229068208760414,99.63962424675849
A3G3F/A2G2F/unmodified/2 x Core/1 x Core,"14 Hex, 12 HexNAc, 2 Fuc",0.03286167482513171,99.67248592158361
unmodified/A2G2F/unmodified/2 x Core/1 x Core,"8 Hex, 7 HexNAc, 1 Fuc",0.030705655850755575,99.70319157743438
A2G1/A2G1/unmodified/2 x Core/1 x Core,"11 Hex, 11 HexNAc, 0 Fuc",0.027875000220181675,99.73106657765456
A2G0F/A2G2F/1 x Core/2 x Core/1 x Core,"12 Hex, 12 HexNAc, 2 Fuc",0.018368436164047684,99.74943501381861
A2G0F/A2G2F/unmodified/unmodified/unmodified,"8 Hex, 8 HexNAc, 2 Fuc",0.017614534104380207,99.76704954792298
A2G1/A2G1/2 x Core/2 x Core/2 x Core,"14 Hex, 14 HexNAc, 0 Fuc",0.017614534104380207,99.78466408202736
M6/A2G1/2 x Core/2 x Core/1 x Core,"15 Hex, 11 HexNAc, 0 Fuc",0.017614534104380207,99.80227861613174
M5/A2G2F/1 x Core/1 x Core/1 x Core,"13 Hex, 9 HexNAc, 1 Fuc",0.016480158108058123,99.81875877423981
A3G3F+LacN1/A2G2F/unmodified/2 x Core/2 x Core,"16 Hex, 14 HexNAc, 2 Fuc",0.015536019080063341,99.83429479331987
A3G3+LacN1/A2G1/2 x Core/2 x Core/1 x Core,"16 Hex, 15 HexNAc, 0 Fuc",0.01426601117113753,99.848560804491
M5/A2G2F/unmodified/2 x Core/1 x Core,"13 Hex, 9 HexNAc, 1 Fuc",0.012742353971108645,99.86130315846212
A3G3+LacN1/A2G2F/1 x Core/1 x Core/1 x Core,"15 Hex, 13 HexNAc, 1 Fuc",0.011572748906577798,99.8728759073687
A1G1/A2G2F/1 x Core/1 x Core/1 x Core,"12 Hex, 10 HexNAc, 1 Fuc",0.011354328683683482,99.88423023605237
