ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N52,N78
0-0-0,11340.2915,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-2-0,11812.0999,0.8,0,100.00,2,11812.1706,-0.0707,-6,5,4,0,0,1,0,0,89.96,unmodified,A2G2
2-0-0,11813.0927,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-1-0,11828.0944,0.0,0,100.00,2,11828.1655,-0.0711,-6,5,4,0,1,1,0,0,89.96,unmodified,A2G2
4-2-0,12176.2293,0.0,0,100.00,2,12176.3028,-0.0735,-6,6,5,0,0,0,0,0,97.02,unmodified,A3G3
5-2-0,12177.1705,0.0,0,100.00,2,12177.3028,-0.1323,-11,6,5,0,0,1,0,0,97.02,unmodified,A3G3
6-2-0,12622.3430,0.1,0,100.00,1,12622.4347,-0.0917,-7,10,4,0,0,1,0,0,100.00,M5,M5
7-2-0,12662.3735,0.1,0,100.00,2,12662.4613,-0.0877,-7,9,5,0,0,0,0,0,70.87,M5,A1G1
8-2-0,12703.4210,0.1,0,96.98,1,12703.4878,-0.0668,-5,8,6,0,0,0,0,0,96.98,A1G1,A1G1
8-1-0,12703.4210,0.1,1,3.02,2,12703.4878,-0.0668,-5,7,6,1,1,0,0,0,2.43,unmodified,A3G3F+LacN1
9-2-0,12783.2866,0.0,0,100.00,2,12783.4875,-0.2009,-16,11,4,0,0,0,0,0,64.44,M5,M6
10-2-0,12784.4241,0.0,0,100.00,2,12784.4875,-0.0635,-5,11,4,0,0,1,0,0,64.44,M5,M6
11-0-0,12808.5404,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12-0-0,12814.4909,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13-2-0,12824.4508,0.1,0,100.00,2,12824.5141,-0.0632,-5,10,5,0,0,0,0,0,57.31,M6,A1G1
14-0-0,12831.4266,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-0-0,12832.4337,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16-1-0,12840.4753,0.0,0,100.00,2,12840.5090,-0.0337,-3,10,5,0,1,0,0,0,57.31,M6,A1G1
17-0-0,12852.5687,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-0-0,12858.6670,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19-2-0,12865.4495,0.3,0,99.85,2,12865.5406,-0.0912,-7,9,6,0,0,0,0,0,81.52,M5,A2G1
19-1-0,12865.4495,0.3,1,0.15,1,12865.5406,-0.0912,-7,8,6,1,1,0,0,0,0.15,A2G0F,M5
20-0-0,12875.4599,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21-0-0,12884.4302,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22-0-0,12902.4425,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23-0-0,12904.4177,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24-0-0,12932.5337,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-0-0,12937.7811,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26-2-0,12946.5759,0.1,0,94.42,2,12946.5404,0.0356,3,12,4,0,0,1,0,0,84.05,M5,M7
26-2-1,12946.5759,0.1,1,5.58,1,12946.5404,0.0356,3,12,4,0,0,1,0,0,5.58,M6,M6
27-0-0,12954.4597,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28-0-0,12976.3719,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29-2-0,12986.5345,0.1,0,77.22,2,12986.5669,-0.0324,-2,11,5,0,0,0,0,0,52.40,M5,M5-A1G1
29-2-1,12986.5345,0.1,1,22.78,2,12986.5669,-0.0324,-2,11,5,0,0,0,0,0,17.52,A1G1,M7
30-2-0,12987.4697,0.0,0,77.22,2,12987.5669,-0.0972,-7,11,5,0,0,1,0,0,52.40,M5,M5-A1G1
