ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N13,N30,O115-122,O123-133,O134-145
0-0-0,16352.3972,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-0-0,16643.5165,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-0-0,19080.9130,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-0-0,19084.0054,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-3-0,19086.8991,0.1,0,54.10,3,19086.9277,-0.0286,-1,8,9,1,1,1,0,0,0,38.16,A2G0F,A2G1,unmodified,unmodified,1 x Core + 1 x S
4-4-0,19086.8991,0.1,1,33.73,3,19086.9277,-0.0286,-1,9,9,1,0,0,0,0,0,23.79,A2G1,A2G1,unmodified,unmodified,1 x Core + 1 x S
4-4-1,19086.8991,0.1,2,6.93,3,19086.9277,-0.0286,-1,9,9,1,0,0,0,0,0,5.34,A2S1G0,A2G1,unmodified,unmodified,1 x Core
4-4-2,19086.8991,0.1,3,2.76,2,19086.9277,-0.0286,-1,9,9,1,0,0,0,0,0,1.54,A2G1,unmodified,2 x Core,2 x Core + 1 x S,1 x Core
4-3-1,19086.8991,0.1,4,2.47,1,19086.9277,-0.0286,-1,8,9,1,1,1,0,0,0,2.47,A2G0F,unmodified,2 x Core,2 x Core + 1 x S,1 x Core
5-3-0,19373.9937,0.1,0,55.85,6,19373.9715,0.0222,1,5,5,7,0,0,1,0,0,36.72,unmodified,unmodified,2 x Core + 2 x S,2 x Core + 3 x S,1 x Core + 2 x S
5-3-1,19373.9937,0.1,1,44.15,3,19373.9715,0.0222,1,5,5,7,0,0,1,0,0,43.34,unmodified,unmodified,1 x Core + 1 x S,2 x Core + 3 x S,2 x Core + 3 x S
6-0-0,19747.6009,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7-6-0,20116.2859,0.5,0,73.31,2,20116.2661,0.0198,1,14,10,1,0,1,0,0,0,40.46,M6,A2G1,2 x Core,1 x Core,1 x Core + 1 x S
7-6-1,20116.2859,0.5,1,24.14,2,20116.2661,0.0198,1,14,10,1,0,1,0,0,0,13.63,M6,A2G1,2 x Core + 1 x S,1 x Core,1 x Core
7-6-2,20116.2859,0.5,2,2.55,1,20116.2661,0.0198,1,14,10,1,0,1,0,0,0,2.55,M6,A2G1,2 x Core,2 x Core + 1 x S,unmodified
8-10-0,20485.2951,0.8,0,66.45,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,56.15,unmodified,A2S2F,1 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 1 x S
8-10-1,20485.2951,0.8,1,14.92,12,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,9.58,unmodified,A2S1G1F,1 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 2 x S
8-10-2,20485.2951,0.8,2,9.56,6,20485.3834,-0.0883,-4,9,8,6,1,0,0,0,0,7.39,unmodified,A2S1G1F,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 1 x S
