ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N13,N30,O115-122,O123-133,O134-145
0-0-0,15626.0754,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-0-0,15627.0640,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-0-0,16996.0008,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-0-0,17333.2206,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-0-0,18366.5730,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-1-0,18374.6775,0.3,0,49.95,12,18374.6787,-0.0011,-0,8,7,1,0,1,0,0,35.32,unmodified,A2G2F,unmodified,2 x Core,1 x Core
5-1-1,18374.6775,0.3,1,49.12,2,18374.6787,-0.0011,-0,8,7,1,0,1,0,0,47.02,unmodified,A2G2F,1 x Core,1 x Core,1 x Core
5-1-2,18374.6775,0.3,2,0.84,6,18374.6787,-0.0011,-0,8,7,1,0,1,0,0,0.41,unmodified,A3G3F,unmodified,1 x Core,1 x Core
5-1-3,18374.6775,0.3,3,0.06,6,18374.6787,-0.0011,-0,8,7,1,0,1,0,0,0.04,unmodified,A3G3F,unmodified,2 x Core,unmodified
5-1-4,18374.6775,0.3,4,0.03,3,18374.6787,-0.0011,-0,8,7,1,0,1,0,0,0.02,A1G1F,unmodified,1 x Core,2 x Core,1 x Core
5-1-5,18374.6775,0.3,5,0.00,3,18374.6787,-0.0011,-0,8,7,1,0,1,0,0,0.00,A3G3F+LacN1,unmodified,unmodified,unmodified,1 x Core
