ID,Exp. Mass,%,Hit,Hit Score,# Perms,Theo. Mass,Da,ppm,Hex,HexNAc,Neu5Ac,Fuc,Oxidation,OffBy+1,OffBy-1,Perm,Perm Score,N13,N30,O115-122,O123-133,O134-145
0-0-0,16645.5386,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01/02/2000,19373.0157,0.1,0,65.87,6,19372.9715,0.0443,2,5,5,7,0,0,0,0,0,51.01,unmodified,unmodified,2 x Core + 2 x S,2 x Core + 3 x S,1 x Core + 2 x S
01/02/2001,19373.0157,0.1,1,34.13,3,19372.9715,0.0443,2,5,5,7,0,0,0,0,0,33.2,unmodified,unmodified,1 x Core + 1 x S,2 x Core + 3 x S,2 x Core + 3 x S
02/07/2000,20485.4553,0.6,0,60.88,6,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,52.57,unmodified,A2S2F,1 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 1 x S
02/07/2001,20485.4553,0.6,1,19.95,12,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,13.95,unmodified,A2S1G1F,1 x Core + 1 x S,2 x Core + 2 x S,1 x Core + 2 x S
02/07/2002,20485.4553,0.6,2,9.5,6,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,7.86,unmodified,A2S1G1F,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 1 x S
02/07/2003,20485.4553,0.6,3,1.75,6,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,1.38,unmodified,A2S2F,2 x Core + 2 x S,2 x Core + 2 x S,unmodified
02/07/2004,20485.4553,0.6,4,1.71,12,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,1.18,unmodified,A2S1G1F,unmodified,2 x Core + 2 x S,2 x Core + 3 x S
02/07/2005,20485.4553,0.6,5,1.49,12,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,1.13,unmodified,A2S2F,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core
02/07/2006,20485.4553,0.6,6,1.23,8,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,0.66,unmodified,A2S2F,1 x Core + 1 x S,2 x Core + 1 x S,1 x Core + 2 x S
02/07/2007,20485.4553,0.6,7,0.96,12,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,0.35,unmodified,A2S2F,2 x Core + 2 x S,1 x Core + 2 x S,1 x Core
02/07/2008,20485.4553,0.6,8,0.84,12,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,0.55,unmodified,A2G2F,1 x Core + 1 x S,2 x Core + 3 x S,1 x Core + 2 x S
02/07/2009,20485.4553,0.6,9,0.33,6,20485.3834,0.0719,4,9,8,6,1,0,0,0,0,0.17,unmodified,A3S2G1F,1 x Core + 1 x S,1 x Core + 2 x S,1 x Core + 1 x S
